start_time,end_time,ac1,ac2,ac1_start_lat,ac1_start_lon,ac1_start_alt,ac2_start_lat,ac2_start_lon,ac2_start_alt,ac1_end_lat,ac1_end_lon,ac1_end_alt,ac2_end_lat,ac2_end_lon,ac2_end_alt,min_horiz_m,min_horiz_nm,min_vert_ft,ac1_min_lat,ac1_min_lon,ac1_min_alt,ac2_min_lat,ac2_min_lon,ac2_min_alt,los_occurred
45005.0,45006.0,N2959U,VTOL1,28.175199161129026,-81.59648800994695,548.64,28.42743134182531,-81.31084474851649,278.892,28.175199161129026,-81.59648800994695,548.64,28.42743134182531,-81.31084474851649,278.892,42420.53725320719,22.905257696116195,885.00002832,28.175199161129026,-81.59648800994695,548.64,28.42743134182531,-81.31084474851649,278.892,0
45001.0,45051.0,JBU737,VTOL1,28.272763841616495,-81.2744281067473,563.88,28.428981068667376,-81.3093523886934,278.892,28.316671890911824,-81.28111888623887,563.88,28.412988177268723,-81.32878303625333,265.7856,11962.98929217952,6.459497457980302,978.000031296,28.316671890911824,-81.28111888623887,563.88,28.412988177268723,-81.32878303625333,265.7856,0
45066.0,45107.0,FFT4686,VTOL1,28.43278070543923,-81.295974,152.4,28.408318320827345,-81.33443176561441,264.2616,28.46078025078516,-81.29008288729923,487.68,28.39564862088295,-81.34978487187969,260.9088,5073.808798243968,2.7396375800453394,367.00001174399995,28.43278070543923,-81.295974,152.4,28.408318320827345,-81.33443176561441,264.2616,1
45131.0,45145.0,AAL1644,VTOL1,28.4480313916904,-81.322333,167.64000000000001,28.387729663262633,-81.35938078242894,258.77520000000004,28.459116001010322,-81.322632,320.04,28.383312725693795,-81.36473996878928,257.86080000000004,7878.465385486866,4.254030985684053,299.0000095680001,28.4480313916904,-81.322333,167.64000000000001,28.387729663262633,-81.35938078242894,258.77520000000004,1
45136.0,45148.0,UPS5327,VTOL1,28.43212038635827,-81.295866,175.26000000000002,28.386145669316367,-81.36129976748896,258.47040000000004,28.44022542345004,-81.296297,373.38,28.382561374953593,-81.36564545849846,257.55600000000004,8902.29633837335,4.806855474283666,273.00000873600004,28.43212038635827,-81.295866,175.26000000000002,28.386145669316367,-81.36129976748896,258.47040000000004,1
45056.0,45168.0,JBU737,VTOL1,28.321523715005622,-81.28125636416705,563.88,28.411486308708128,-81.3305927955111,264.8712,28.39856338015897,-81.282032,160.02,28.37622544758845,-81.37332130955029,255.7272,8485.369450967339,4.581732964885172,147.0000047039999,28.366898158411672,-81.28182,304.8,28.39248063904644,-81.35362383461982,259.99440000000004,1
45421.0,45445.0,N8922V,VTOL1,28.07272526981739,-81.74075344449604,152.4,28.29586514111568,-81.47069176318384,234.696,28.07863571413434,-81.73664737199654,220.98000000000002,28.28828168533145,-81.47988477347486,233.17200000000003,36900.26541818435,19.9245493618706,40.00000128000002,28.07863571413434,-81.73664737199654,220.98000000000002,28.28828168533145,-81.47988477347486,233.17200000000003,0
45106.0,45471.0,N5524A,VTOL1,28.274644059369496,-81.55634061521145,563.88,28.39564862088295,-81.34978487187969,260.9088,28.288680310488235,-81.40388802264386,160.02,28.279947068157927,-81.48998601668808,231.03840000000002,5266.160598437189,2.8434992432166246,200.00000639999993,28.264379194213422,-81.43453564762461,175.26000000000002,28.30136833268597,-81.46402648421665,236.22,1
45266.0,45482.0,N9886K,VTOL1,28.305186621694958,-81.45035151717707,152.4,28.344964887165986,-81.41119830580051,247.4976,28.263636436726976,-81.4001555483353,243.84,28.27685823779949,-81.49372155533922,229.81920000000002,1255.4156709762037,0.6778702327085333,3.0000000960000017,28.31465229743468,-81.43325135032629,243.84,28.325877889440147,-81.434332542261,242.9256,1
45306.0,45493.0,N1297F,VTOL1,28.296875590006337,-81.44302852350545,160.02,28.33229395369828,-81.42655116447385,244.1448,28.272416091021753,-81.40268249074688,304.8,28.273275511848183,-81.4980650345676,228.90480000000002,375.6568214588056,0.20283845651123414,236.00000755200006,28.313004147665374,-81.44569154478809,312.42,28.316375131307154,-81.44584702186013,240.4872,1
