start_time,end_time,ac1,ac2,ac1_start_lat,ac1_start_lon,ac1_start_alt,ac2_start_lat,ac2_start_lon,ac2_start_alt,ac1_end_lat,ac1_end_lon,ac1_end_alt,ac2_end_lat,ac2_end_lon,ac2_end_alt,min_horiz_m,min_horiz_nm,min_vert_ft,ac1_min_lat,ac1_min_lon,ac1_min_alt,ac2_min_lat,ac2_min_lon,ac2_min_alt,los_occurred
45005.0,45009.0,N2959U,VTOL1,28.175199161129026,-81.59648800994695,548.64,28.42743134182531,-81.31084474851649,278.892,28.17576846557991,-81.59510778367728,579.12,28.426849548209418,-81.31232663947166,274.6248,42097.05084915912,22.73058901142501,999.000031968,28.17576846557991,-81.59510778367728,579.12,28.426849548209418,-81.31232663947166,274.6248,0
45001.0,45051.0,JBU737,VTOL1,28.272763841616495,-81.2744281067473,563.88,28.428981068667376,-81.3093523886934,278.892,28.316671890911824,-81.28111888623887,563.88,28.417556749256686,-81.33201206986895,260.9088,12578.603773513863,6.791902685482648,994.000031808,28.316671890911824,-81.28111888623887,563.88,28.417556749256686,-81.33201206986895,260.9088,0
45066.0,45109.0,FFT4686,VTOL1,28.43278070543923,-81.295974,152.4,28.413946258778076,-81.33923513572591,251.46,28.462122565860646,-81.28894655755508,487.68,28.404261183392965,-81.35858789590648,231.64800000000002,5252.443123332821,2.836092399207787,325.0000104,28.43278070543923,-81.295974,152.4,28.413946258778076,-81.33923513572591,251.46,1
45061.0,45148.0,JBU737,VTOL1,28.325219969144214,-81.28130913185919,548.64,28.415134779541177,-81.33686257043655,253.8984,28.38600265160382,-81.28199663504718,190.5,28.395389005048933,-81.37630705868689,212.4456,9760.343377308789,5.270163810641895,322.000010304,28.363508283353188,-81.281756,327.66,28.40371575834081,-81.35967156586035,229.51440000000002,1
45136.0,45148.0,UPS5327,VTOL1,28.43212038635827,-81.295866,175.26000000000002,28.39797493278701,-81.37113818313208,217.32240000000002,28.44022542345004,-81.296297,373.38,28.395389005048933,-81.37630705868689,212.4456,9201.130713108514,4.9682131280283555,138.000004416,28.43212038635827,-81.295866,175.26000000000002,28.39797493278701,-81.37113818313208,217.32240000000002,1
45131.0,45150.0,AAL1644,VTOL1,28.4480313916904,-81.322333,167.64000000000001,28.399120897909494,-81.3688502596379,219.76080000000002,28.46307150095871,-81.322755,365.76,28.394789010097867,-81.3775111105576,212.4456,7513.969586343166,4.057218999105381,171.000005472,28.4480313916904,-81.322333,167.64000000000001,28.399120897909494,-81.3688502596379,219.76080000000002,1
45266.0,45316.0,N9886K,VTOL1,28.305186621694958,-81.45035151717707,152.4,28.364307649724005,-81.42721027318841,334.67040000000003,28.316865698063026,-81.43786875724525,243.84,28.348661906081247,-81.44670491579234,541.6296,3673.689098921024,1.9836334227435335,977.0000312639999,28.316865698063026,-81.43786875724525,243.84,28.348661906081247,-81.44670491579234,541.6296,1
45126.0,45321.0,N5524A,VTOL1,28.275761901252977,-81.54637907045075,518.1600000000001,28.400267863026116,-81.36655833616307,222.19920000000002,28.275641858136755,-81.45647980393574,266.7,28.34710562322562,-81.44864473239161,564.4896,8003.016203403633,4.3212830471941865,977.000031264,28.275641858136755,-81.45647980393574,266.7,28.34710562322562,-81.44864473239161,564.4896,1
45176.0,45361.0,N2959U,VTOL1,28.21271690748272,-81.53297835736072,487.68,28.38883221159632,-81.38940057171864,197.8152,28.257289281007637,-81.46944065541224,396.24,28.332471442285787,-81.46132459411194,682.1424000000001,8417.903152747684,4.545304078157496,938.0000300160002,28.257289281007637,-81.46944065541224,396.24,28.332471442285787,-81.46132459411194,682.1424000000001,1
45506.0,45507.0,N628SG,VTOL1,28.299805138969944,-81.69757017758532,693.4200000000001,28.277759412638616,-81.50496406040214,720.5472000000001,28.299805138969944,-81.69757017758532,693.4200000000001,28.277759412638616,-81.50496406040214,720.5472000000001,21580.90600681453,11.652757023117998,89.00000284800005,28.299805138969944,-81.69757017758532,693.4200000000001,28.277759412638616,-81.50496406040214,720.5472000000001,0
45527.0,45542.0,N628SG,VTOL1,28.300429775377662,-81.68776020448415,701.0400000000001,28.27141191415668,-81.51362043095853,726.3384000000001,28.300579150410694,-81.68138192473876,701.0400000000001,28.26735648918786,-81.51916095645224,727.8624000000001,18374.75767383691,9.921575417838504,87.00000278400005,28.300558861067355,-81.68099505248243,701.0400000000001,28.267257142247487,-81.51932679664532,727.5576000000001,0
45557.0,45572.0,N628SG,VTOL1,28.300822544426943,-81.673919817249,701.0400000000001,28.26254194770753,-81.5257798179265,729.0816,28.301041150410697,-81.66772692180768,701.0400000000001,28.258520120166853,-81.53129959697625,729.996,15861.22199597706,8.564374727849383,94.00000300799968,28.301024861067354,-81.6674230376889,701.0400000000001,28.258407470383567,-81.5314627484324,729.6912,0
45641.0,45943.0,N5298W,VTOL1,28.06119455320423,-81.58626724967928,731.52,28.237857105109843,-81.55967370618966,735.1776,28.216974531405796,-81.62812216328776,731.52,28.146119724008724,-81.6783545150628,655.32,3282.4495571012867,1.7723809703570663,162.00000518399972,28.167001530857533,-81.61409765096552,701.0400000000001,28.178429626907725,-81.64127960931727,750.4176,1
45951.0,46036.0,N28EF,VTOL1,28.060458551646885,-81.74043937758572,365.76,28.14314059716121,-81.68145183094306,641.2992,28.088287491412977,-81.79233594551411,304.8,28.11393160839183,-81.71183637001545,526.0848,9400.872812332513,5.076065233440882,750.0000239999999,28.086403418156156,-81.78928601803116,304.8,28.11563980995352,-81.71005923992708,533.4,1
46081.0,46099.0,N4106C,VTOL1,28.171460088938627,-81.75587050948742,213.36,28.098674681018135,-81.72770037766558,454.45680000000004,28.175541915113005,-81.7464182526342,205.74,28.09264545185592,-81.73397359141194,432.81600000000003,8688.147627141783,4.691224420702906,791.000025312,28.171460088938627,-81.75587050948742,213.36,28.098674681018135,-81.72770037766558,454.45680000000004,1
46021.0,46116.0,N8922V,VTOL1,28.078072565672777,-81.74381402370086,236.22,28.119169808880688,-81.70638341915087,540.4104,28.053055667026495,-81.7872689039369,289.56,28.08661906458613,-81.74024378808399,411.48,5454.819212400049,2.945366745356398,778.0000248960002,28.08176367211911,-81.75199650539197,281.94,28.11222337318209,-81.71361253520061,519.0744000000001,1
